day	hour	value
7	0	9
7	1	7
7	2	5
7	3	4
7	4	2
7	5	2
7	6	0
7	7	0
7	8	1
7	9	1
7	10	1
1	0	3
1	1	5
1	2	4
1	3	3
1	4	1
1	5	1
1	6	1
1	7	0
1	8	1
1	9	0
1	10	1
1	11	1
1	12	1
1	13	0
1	14	1
1	15	0
1	16	0
1	17	1
1	18	3
1	19	7
1	20	7
1	21	8
1	22	9
1	23	5
2	0	5
2	1	6
2	2	4
2	3	3
2	4	3
2	5	3
2	6	3
2	7	4
2	8	4
2	9	5
2	10	4
2	11	4
2	12	3
2	13	3
2	14	3
2	15	3
2	16	3
2	17	5
2	18	7
2	19	7
2	20	9
2	21	11
2	22	9
2	23	10
3	0	6
3	1	9
3	2	6
3	3	3
3	4	3
3	5	2
3	6	1
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	1
3	13	0
3	14	1
3	15	0
3	16	3
3	17	4
3	18	5
3	19	6
3	20	4
3	21	8
3	22	4
3	23	7
4	0	3
4	1	3
4	2	3
4	3	3
4	4	2
4	5	2
4	6	3
4	7	3
4	8	3
4	9	3
4	10	2
4	11	2
4	12	2
4	13	2
4	14	4
4	15	3
4	16	3
4	17	3
4	18	6
4	19	6
4	20	8
4	21	9
4	22	9
4	23	7
5	0	5
5	1	5
5	2	5
5	3	4
5	4	2
5	5	2
5	6	1
5	7	1
5	8	1
5	9	2
5	10	3
5	11	1
5	12	1
5	13	1
5	14	1
5	15	2
5	16	2
5	17	2
5	18	3
5	19	4
5	20	7
5	21	7
5	22	4
5	23	6
6	0	6
6	1	7
6	2	7
6	3	3
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	2
6	12	3
6	13	5
6	14	7
6	15	1
6	16	7
6	17	8
6	18	5
6	19	5
6	20	6
6	21	5
6	22	6
6	23	5
