day	hour	value
7	23	NaN
7	0	NaN
7	1	NaN
7	2	NaN
7	3	NaN
7	4	NaN
7	5	NaN
7	6	NaN
7	7	NaN
7	8	NaN
7	9	NaN
7	10	NaN
7	11	NaN
7	12	NaN
7	13	NaN
7	14	NaN
7	15	NaN
7	16	NaN
7	17	NaN
7	18	NaN
7	19	NaN
7	20	NaN
7	21	NaN
7	22	NaN
1	23	NaN
1	0	NaN
1	1	NaN
1	2	NaN
1	3	NaN
1	4	NaN
1	5	NaN
1	6	NaN
1	7	NaN
1	8	NaN
1	9	NaN
1	10	NaN
1	11	NaN
1	12	NaN
1	13	NaN
1	14	NaN
1	15	NaN
1	16	NaN
1	17	NaN
1	18	NaN
1	19	NaN
1	20	NaN
1	21	NaN
1	22	NaN
2	23	NaN
2	0	NaN
2	1	NaN
2	2	NaN
2	3	NaN
2	4	NaN
2	5	NaN
2	6	NaN
2	7	NaN
2	8	NaN
2	9	NaN
2	10	NaN
2	11	NaN
2	12	NaN
2	13	NaN
2	14	NaN
2	15	NaN
2	16	NaN
2	17	NaN
2	18	NaN
2	19	NaN
2	20	NaN
2	21	NaN
2	22	NaN
3	23	NaN
3	0	NaN
3	1	NaN
3	2	NaN
3	3	NaN
3	4	NaN
3	5	NaN
3	6	NaN
3	7	NaN
3	8	NaN
3	9	NaN
3	10	NaN
3	11	NaN
3	12	NaN
3	13	NaN
3	14	NaN
3	15	NaN
3	16	NaN
3	17	NaN
3	18	NaN
3	19	NaN
3	20	NaN
3	21	NaN
3	22	NaN
4	23	NaN
4	0	NaN
4	1	NaN
4	2	NaN
4	3	NaN
4	4	NaN
4	5	NaN
4	6	NaN
4	7	NaN
4	8	NaN
4	9	NaN
4	10	NaN
4	11	NaN
4	12	NaN
4	13	NaN
4	14	NaN
4	15	NaN
4	16	NaN
4	17	NaN
4	18	NaN
4	19	NaN
4	20	NaN
4	21	NaN
4	22	NaN
5	23	NaN
5	0	NaN
5	1	NaN
5	2	NaN
5	3	NaN
5	4	NaN
5	5	NaN
5	6	NaN
5	7	NaN
5	8	NaN
5	9	NaN
5	10	NaN
5	11	NaN
5	12	NaN
5	13	NaN
5	14	NaN
5	15	NaN
5	16	NaN
5	17	NaN
5	18	NaN
5	19	NaN
5	20	NaN
5	21	NaN
5	22	NaN
6	23	NaN
6	0	NaN
6	1	NaN
6	2	NaN
6	3	NaN
6	4	NaN
6	5	NaN
6	6	NaN
6	7	NaN
6	8	NaN
6	9	NaN
6	10	NaN
6	11	NaN
6	12	NaN
6	13	NaN
6	14	NaN
6	15	NaN
6	16	NaN
6	17	NaN
6	18	NaN
6	19	NaN
6	20	NaN
6	21	NaN
6	22	NaN
